NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABEL A;Cràter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;86;86,00 ° Est ;-36,6;36,6 ° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius ?;??;No indicat;No indicat;;??;19;19;11;11;?;?;Alçada desconeguda. Càlcul impossible.;Alçada desconeguda. Visualització impossible.;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABEL B;Cràter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;82,8;82,80 ° Est ;-36,7;36,7 ° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius ?;??;No indicat;No indicat;;??;41;41;24;24;?;?;Alçada desconeguda. Càlcul impossible.;Alçada desconeguda. Visualització impossible.;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
ABEL C;Cràter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;81;81,00 ° Est ;-36;36 ° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius ?;??;No indicat;No indicat;;??;31;31;18;18;?;?;Alçada desconeguda. Càlcul impossible.;Alçada desconeguda. Visualització impossible.;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
ABEL D;Cràter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;87,7;87,70 ° Est ;-37,7;37,7 ° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius ?;??;No indicat;No indicat;;??;30;30;18;18;?;?;Alçada desconeguda. Càlcul impossible.;Alçada desconeguda. Visualització impossible.;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
ABEL E;Cràter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;86,5;86,50 ° Est ;-37,8;37,8 ° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius ?;??;No indicat;No indicat;;??;13;13;8;8;?;?;Alçada desconeguda. Càlcul impossible.;Alçada desconeguda. Visualització impossible.;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABEL J;Cràter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;79;79,00 ° Est ;-35,5;35,5 ° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius ?;??;No indicat;No indicat;;??;11;11;6;6;?;?;Alçada desconeguda. Càlcul impossible.;Alçada desconeguda. Visualització impossible.;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABEL K;Crateret;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;77,2;77,20 ° Est ;-35;35 ° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius ?;??;No indicat;No indicat;;??;9;9;5;5;?;?;Alçada desconeguda. Càlcul impossible.;Alçada desconeguda. Visualització impossible.;Formació aïllada circular en forma de bol.;Vessants poc escarpats.;Muralles poc elevades.;Fons arrodonit.;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABEL L;Cràter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;82,6;82,60 ° Est ;-34,4;34,4 ° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius ?;??;No indicat;No indicat;;??;67;67;39;39;?;?;Alçada desconeguda. Càlcul impossible.;Alçada desconeguda. Visualització impossible.;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
ABEL M;Cràter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;83,6;83,60 ° Est ;-32,2;32,2 ° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius ?;??;No indicat;No indicat;;??;81;81;48;48;?;?;Alçada desconeguda. Càlcul impossible.;Alçada desconeguda. Visualització impossible.;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
ABENEZRA A;Cràter;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o IAU 19.. ??);---;---;---;Filòsof i astrònom;Espanya;espanyol;12;segle 12è;?;1092;?;1167;??;10,5;10,50 ° Est ;-22,8;22,8 ° Sud;Sud-Est;Regió à l'oest del cràter Caterina;56;Azophi ?;??;No indicat;No indicat;;??;23;23;14;14;?;?;Alçada desconeguda. Càlcul impossible.;Alçada desconeguda. Visualització impossible.;;;;;0;Sense estimar;6;Sis dies després de la Lluna nova;Cinc dies després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
