NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABEL A;Crater;;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;86;86.00 ° East;-36,6;36.6 ° South;South-East;Moon South-East limb;Not indicated;Not indicated ?;??;Not indicated;Not indicated;;;19;19;11;11;Not known;Not known;Unknown height, Impossible computing,;Unknown height. Impossible drawing.;;;;;0;Not evaluated;2;2 days after New Moon;1 day after Full Moon;50;50 mm refractor;100 mm refractor
ABEL B;Crater;;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;82,8;82.80 ° East;-36,7;36.7 ° South;South-East;Moon South-East limb;Not indicated;Not indicated ?;??;Not indicated;Not indicated;;;41;41;24;24;Not known;Not known;Unknown height, Impossible computing,;Unknown height. Impossible drawing.;;;;;0;Not evaluated;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ABEL C;Crater;;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;81;81.00 ° East;-36;36 ° South;South-East;Moon South-East limb;Not indicated;Not indicated ?;??;Not indicated;Not indicated;;;31;31;18;18;Not known;Not known;Unknown height, Impossible computing,;Unknown height. Impossible drawing.;;;;;0;Not evaluated;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ABEL D;Crater;;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;87,7;87.70 ° East;-37,7;37.7 ° South;South-East;Moon South-East limb;Not indicated;Not indicated ?;??;Not indicated;Not indicated;;;30;30;18;18;Not known;Not known;Unknown height, Impossible computing,;Unknown height. Impossible drawing.;;;;;0;Not evaluated;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ABEL E;Crater;;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;86,5;86.50 ° East;-37,8;37.8 ° South;South-East;Moon South-East limb;Not indicated;Not indicated ?;??;Not indicated;Not indicated;;;13;13;8;8;Not known;Not known;Unknown height, Impossible computing,;Unknown height. Impossible drawing.;;;;;0;Not evaluated;2;2 days after New Moon;1 day after Full Moon;50;50 mm refractor;100 mm refractor
ABEL J;Crater;;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;79;79.00 ° East;-35,5;35.5 ° South;South-East;Moon South-East limb;Not indicated;Not indicated ?;??;Not indicated;Not indicated;;;11;11;6;6;Not known;Not known;Unknown height, Impossible computing,;Unknown height. Impossible drawing.;;;;;0;Not evaluated;2;2 days after New Moon;1 day after Full Moon;50;50 mm refractor;100 mm refractor
ABEL K;Craterlet;;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;77,2;77.20 ° East;-35;35 ° South;South-East;Moon South-East limb;Not indicated;Not indicated ?;??;Not indicated;Not indicated;;;9;9;5;5;Not known;Not known;Unknown height, Impossible computing,;Unknown height. Impossible drawing.;Isolated circular formation with bowl shape.;Few steep slopes.;Few high walls.;Rounded floor.;0;Not evaluated;2;2 days after New Moon;1 day after Full Moon;50;50 mm refractor;100 mm refractor
ABEL L;Crater;;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;82,6;82.60 ° East;-34,4;34.4 ° South;South-East;Moon South-East limb;Not indicated;Not indicated ?;??;Not indicated;Not indicated;;;67;67;39;39;Not known;Not known;Unknown height, Impossible computing,;Unknown height. Impossible drawing.;;;;;0;Not evaluated;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ABEL M;Crater;;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;83,6;83.60 ° East;-32,2;32.2 ° South;South-East;Moon South-East limb;Not indicated;Not indicated ?;??;Not indicated;Not indicated;;;81;81;48;48;Not known;Not known;Unknown height, Impossible computing,;Unknown height. Impossible drawing.;;;;;0;Not evaluated;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ABENEZRA A;Crater;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 or IAU 19.. ??);Not named;Not named;Not named;Philosopher and astronomer;Spain;spanish;12;12 th century;?;1092;?;1167;??;10,5;10.50 ° East;-22,8;22.8 ° South;South-East;West of Catharina crater region;56;Azophi ?;??;Not indicated;Not indicated;;;23;23;14;14;Not known;Not known;Unknown height, Impossible computing,;Unknown height. Impossible drawing.;;;;;0;Not evaluated;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor
