NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Piroclastico 'Aestatis';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 1;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Non applicabile;Non applicabile;Non applicabile;0;Non applicabile;Non applicabile;Non applicabile;Non applicabile;Non applicabile;Non applicabile;-68.4;68 ° 24 '  Ovest;-15;-15 ° 0 '  Sud;Sud-Ovest;Bordo occidentale della Luna;39;Grimaldi;224;11g5;075C 080C 237C 248C/S;;;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 370 km2;Fonte : Coombs & Hawke 1992;Commenti dalle fonti : ' Vicino al Mare Orientale ';;3;Formazione molto interessante;13;6 giorni dopo il Primo Quarto;5 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Centrale';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 2;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-3.4;3 ° 24 '  Ovest;-13.7;13 ° 42 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 11 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #8, senza nome';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Est 1';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 3;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-2;2 ° 0 '  Ovest;-12.5;12 ° 30 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 8 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #1, MD-Ravi ';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Est 2';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 4;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-1.7;1 ° 42 '  Ovest;-12.5;12 ° 30 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 8 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #2, Monira ';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Est 3';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 5;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-1.7;1 ° 42 '  Ovest;-12.6;12 ° 36 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 10 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #3, Jose ';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Est 4';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 6;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-1.6;1 ° 36 '  Ovest;-12.8;12 ° 48 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 25 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #4, KC-Soraya ';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Est 5';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 7;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-1.6;1 ° 36 '  Ovest;-13;13 ° 0 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 48 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #5, senza nome ';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Est 6';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 8;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-1.6;1 ° 36 '  Ovest;-13.5;13 ° 30 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 55 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #6, senza nome ';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Sud';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 9;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-2;2 ° 0 '  Ovest;-14.4;14 ° 24 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 43 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #7, R ';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Ovest 1';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 10;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-4.1;4 ° 6 '  Ovest;-13.6;13 ° 36 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 39 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #9, CA ';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Ovest 2';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 11;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-4.2;4 ° 12 '  Ovest;-13.5;13 ° 30 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 41 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #10, senza nome ';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Alphonsus Ovest 3';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 12;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche e arabe. Coordinatore del calcolo delle 'Tavole Alfonsine' che hanno sostituito le tavole astronomiche di Tolomeo nel 1256.;-4.3;4 ° 18 '  Ovest;-13.7;13 ° 42 '  Sud;Sud-Ovest;Regione del cratere Tolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 79 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' #11, senza nome ';;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Piroclastico 'Apollo Basin Est';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 13;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Non applicabile;Non applicabile;Non applicabile;0;Non applicabile;Non applicabile;Non applicabile;Non applicabile;Non applicabile;Non applicabile;-153.1;153 ° 6 '  Ovest;-30;30 ° 0 '  Sud;Sud-Ovest;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 69 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' in un cratere senza nome, NE Apollo ';;999;Non osservabile;999;Non osservabile;Non osservabile;999;Non osservabile;Non osservabile
Piroclastico 'Apollo Basin Ovest';Regione di tipo piroclastico;Non determinato;Lista del vulcanismo piroclastico di Gaddis n° 14;Gaddis (1999) / Legrand (2007);Nome non assegnato;Nome non assegnato;Nome non assegnato;Non applicabile;Non applicabile;Non applicabile;0;Non applicabile;Non applicabile;Non applicabile;Non applicabile;Non applicabile;Non applicabile;-153.5;153 ° 30 '  Ovest;-30;30 ° 0 '  Sud;Sud-Ovest;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;;0;0;0;0;0;0;Non applicabile;Profilo ignoto;Piccolo deposito piroclastico / Area = 2 km2;Fonte : Head & Wilson 1979;Commenti dalle fonti : ' in un cratere senza nome, NE Apollo ';;999;Non osservabile;999;Non osservabile;Non osservabile;999;Non osservabile;Non osservabile
