GLO_WORD;GLO_TEXT
ABEND TERMINATOR;Der Abend Terminator ist das Mondgebiet, in dem die Sonne untergeht. Für einen Beobachter von der Erde aus, kann er zwischen VOLLMOND und NEUMOND am Morgen beobachtet werden.
ABHANG;Aufschüttung, welche zwei benachbarte Gebiete von unterschiedlicher RELATIVEr HÖHE trennt.
ABNEHMENDER MOND;Populäre Bezeichnung für die Zeitperiode zwischen VOLLMOND und NEUMOND, einschließlich der Mondphase LETZES VIERTEL.
ABSOLUTE HÖHE;Der Mond ist eine Kugel mit einem mittleren Radius von 1748 km (1086 miles). Das mittlere Mondniveau erbibt sich aus verschiedenen Karten, die sich auf diesen Radius beziehen. Die absolute Höhe einer Formation kann auch negativ sein.
ALTER DES MONDES;Zeitpunkt in Tagen, seit dem letzten NEUMOND.
ALBEDO;Verhältnis zwischen der Lichtmenge, die ein Himmelskörpers einfängt zu der von ihm reflektierten Lichtmenge. Ein vollständig reflektierender Körper hat eine Albedo gleich 1 und ein vollständig absorbierender Körper hat ein Albedo gleich 0.
ANOMALISTISCHER MONAT;Zeit zwischen zwei aufeinanderfolgenden Durchgängen des Mondes durch  sein PERIGÄUM.
APOGÄUM;Entferntester Punkt auf einer elliptischen Umlaufbahn eines die Erde umlaufenden Himmelskörpers.
APOLLO;Amerikanische, menschliche Missionen und Programm zur Landung auf dem Mond.
ASCHGRAUES MONDLICHT;Mondphänomen zwischen NEUMOND und der Mondphase ERSTES oder LETZTES VIERTEL, wenn der Mond eine zunehmende Form hat. Der unbeleuchtete Teil der Mondscheibe ist schwach sichtbar, weil er von der Erde reflektiertes Licht erhält, wird auch ERDSCHEIN genannt.
