"FEATURE","CLEAN_FEAT","APPROVALDT","ORIGIN","DIAMETER","CENTER_LON","CENTER_LAT","TYPE","CODE","APPROVAL","MIN_LON","MAX_LON","MIN_LAT","MAX_LAT","ETHNICITY","CONTINENT","QUAD_NAME","QUAD_CODE","LINK"
"Lev","Lev","2012-03-29 00:00:00","Russian male name of Hebrew origin.","0.06","62.2","12.7","Crater, craters","AA","Adopted by IAU","62.2","62.2","12.7","12.7","Russia","Europe","Mare Undarum","LAC-62","http://planetarynames.wr.usgs.gov/Feature/14952"
"Triplet","Triplet","1973-01-01 00:00:00","Astronaut-named feature, Apollo 14 site.","0.3","342.5","-3.69999999999993","Landing site name","LF","Adopted by IAU","342.5","342.5","-3.69999999999993","-3.69999999999993","American","North America","Montes Riphaeus","LAC-76","http://planetarynames.wr.usgs.gov/Feature/6086"
"Van Serg","Van Serg","1973-01-01 00:00:00","Astronaut-named feature, Apollo 17 site.","0.1","30.8000000000001","20.2","Landing site name","LF","Adopted by IAU","30.8000000000001","30.8000000000001","20.2","20.2","American","North America","Macrobius","LAC-43","http://planetarynames.wr.usgs.gov/Feature/6315"
"Weird","Weird","1973-01-01 00:00:00","Astronaut-named feature, Apollo 14 site.","0.04","342.5","-3.69999999999993","Landing site name","LF","Adopted by IAU","342.5","342.5","-3.69999999999993","-3.69999999999993","American","North America","Montes Riphaeus","LAC-76","http://planetarynames.wr.usgs.gov/Feature/6514"
"Wessex Cleft","Wessex Cleft","1973-01-01 00:00:00","Astronaut-named feature, Apollo 17 site.","4","30.9","20.3000000000001","Landing site name","LF","Adopted by IAU","30.9","30.9","20.3000000000001","20.3000000000001","Great Britain","Europe","Macrobius","LAC-43","http://planetarynames.wr.usgs.gov/Feature/6524"
"Wreck","Wreck","1973-01-01 00:00:00","Astronaut-named feature, Apollo 16 site.","1","15.5000000000001","-9.09999999999991","Landing site name","LF","Adopted by IAU","15.5000000000001","15.5000000000001","-9.09999999999991","-9.09999999999991","American","North America","Theophilus","LAC-78","http://planetarynames.wr.usgs.gov/Feature/6579"
"Apennine Front","Apennine Front","1973-01-01 00:00:00","Astronaut-named feature, Apollo 15 site.","6","3.70000000000005","25.9000000000001","Landing site name","LF","Adopted by IAU","3.69999980926514","3.70000004768372","25.8999996185303","25.9000015258789","Italy","Europe","Montes Apenninus","LAC-41","http://planetarynames.wr.usgs.gov/Feature/314"
"Shorty","Shorty","1973-01-01 00:00:00","Astronaut-named feature, Apollo 17 site.","0.1","30.6000000000001","20.2","Landing site name","LF","Adopted by IAU","30.6000000000001","30.6000000000001","20.2","20.2","American","North America","Macrobius","LAC-43","http://planetarynames.wr.usgs.gov/Feature/5500"
"Stone Mountain","Stone Mountain","1973-01-01 00:00:00","Astronaut-named feature, Apollo 16 site.","5","15.6000000000001","-9.09999999999991","Landing site name","LF","Adopted by IAU","15.6000000000001","15.6000000000001","-9.09999999999991","-9.09999999999991","American","North America","Theophilus","LAC-78","http://planetarynames.wr.usgs.gov/Feature/5715"
"Bear Mountain","Bear Mountain","1973-01-01 00:00:00","Astronaut-named feature, Apollo 17 site.","0","30.7","20.0000000000001","Landing site name","LF","Adopted by IAU","30.7","30.7","20.0000000000001","20.0000000000001","American","North America","Macrobius","LAC-43","http://planetarynames.wr.usgs.gov/Feature/652"
